"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C23","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","34.4mm","36.5mm","34.4mm","36.5mm","32.8375mm","36.5mm","B","0","1nF",
"C25","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","28.25mm","31.65mm","28.25mm","31.65mm","29.8125mm","31.65mm","B","180","1nF",
"C26","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","62.4838mm","4.0461mm","62.4838mm","4.0461mm","62.4838mm","5.6086mm","B","-90","1nF",
"C38","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","29.032mm","24.9888mm","29.032mm","24.9888mm","29.8945mm","24.9888mm","B","180","10uF",
"C39","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","32.3848mm","24.9888mm","32.3848mm","24.9888mm","31.5223mm","24.9888mm","B","0","10uF",
"R3","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","18.7196mm","21.763mm","18.7196mm","21.763mm","18.7196mm","22.6755mm","B","-90","3.3K",
"G***","do not touch","59.8168mm","22.7028mm","59.8168mm","22.7028mm","59.8168mm","22.7028mm","B","-90","LOGO",
"G***","ce","32.4356mm","15.8194mm","32.4356mm","15.8194mm","32.4356mm","15.8194mm","B","-90","LOGO",
"G***","不可回收","32.235898mm","7.315617mm","32.235898mm","7.315617mm","32.235898mm","7.315617mm","B","-90","LOGO",
"Through Hole Items ",
"J1","螺钉式接线端子5.0","70.6372mm","27.8844mm","70.6372mm","27.8844mm","70.6372mm","25.3844mm","T","90","Conn_01x02",
"J2","螺钉式接线端子5.0","70.6396mm","17.8848mm","70.6396mm","17.8848mm","70.6396mm","15.3848mm","T","90","Conn_01x02",
"J3","PinHeader_2x04_P2.54mm_Vertical","11.025mm","43.0mm","11.025mm","43.0mm","11.025mm","43.0mm","T","0","Conn_02x04_Top_Bottom",
"J4","PinHeader_1x02_P2.54mm_Vertical","6.299mm","35.352mm","6.299mm","35.352mm","6.299mm","35.352mm","T","-90","Conn_01x02",
"J5","螺钉式接线端子5.0","25.3236mm","39.7716mm","25.3236mm","39.7716mm","27.8236mm","39.7716mm","T","180","Conn_01x02_Female",
"U1","IC_DRV8711DCP","50.0mm","23.175mm","50.0mm","23.175mm","47.1mm","27.675mm","T","0","DRV8711",
"REF**","MountingHole_3.2mm_M3_Pad_Via","71.0mm","4.0mm","71.0mm","4.0mm","72.697056mm","2.302944mm","T","0","MountingHole_3.2mm_M3_Pad_Via",
"REF**","MountingHole_3.2mm_M3_Pad_Via","4.0mm","42.35mm","4.0mm","42.35mm","4.0mm","44.75mm","T","0","MountingHole_3.2mm_M3_Pad_Via",
"REF**","MountingHole_3.2mm_M3_Pad_Via","71.0mm","42.35mm","71.0mm","42.35mm","71.0mm","42.35mm","T","0","MountingHole_3.2mm_M3_Pad_Via",
"REF**","MountingHole_3.2mm_M3_Pad_Via","4.0mm","4.0mm","4.0mm","4.0mm","4.0mm","6.4mm","T","0","MountingHole_3.2mm_M3_Pad_Via",
